ticker;NomeEmpresa;RazaoSocial;Setor;SubSetor
AZEV3;AZEVEDO & TRAVASSOS;AZEVEDO & TRAVASSOS SA;Construção e Engenharia;Construção Pesada
AZEV4;AZEVEDO & TRAVASSOS;AZEVEDO & TRAVASSOS SA;Construção e Engenharia;Construção Pesada
AZTE3;AZT ENERGIA;AZEVEDO & TRAVASSOS ENERGIA S.A.;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
AZUL4;AZUL;AZUL S.A.;Transporte;Transporte Aéreo
AZZA3;AZZAS 2154;AZZAS 2154 S.A.;Comércio;Tecidos, Vestuário e Calçados
B3SA3;B3;B3 S.A. - BRASIL, BOLSA, BALCÃO;Serviços Financeiros Diversos;Serviços Financeiros Diversos
BAHI11;BIOMA EDUC;BAHEMA EDUCAÇÃO S.A.;Diversos;Serviços Educacionais
BAHI3;BIOMA EDUC;BAHEMA EDUCAÇÃO S.A.;Outros;Outros
BAHI4;BIOMA EDUC;BAHEMA EDUCAÇÃO S.A.;Diversos;Serviços Educacionais
BAHI5;BIOMA EDUC;BAHEMA EDUCAÇÃO S.A.;Diversos;Serviços Educacionais
BALM3;BAUMER;BAUMER SA;Equipamentos;Equipamentos
BALM4;BAUMER;BAUMER SA;Equipamentos;Equipamentos
BAUH4;EXCELSIOR;EXCELSIOR ALIMENTOS SA.;Alimentos Processados;Carnes e Derivados
BAZA3;BANCO DA AMAZONIA S.A.;BANCO DA AMAZÔNIA S.A.;Intermediários Financeiros;Bancos
BBAS3;BANCO DO BRASIL S.A.;BANCO DO BRASIL S.A.;Intermediários Financeiros;Bancos
BBDC3;BANCO BRADESCO S.A.;BANCO BRADESCO SA;Intermediários Financeiros;Bancos
BBDC4;BANCO BRADESCO S.A.;BANCO BRADESCO SA;Intermediários Financeiros;Bancos
BBRK3;NEXPE;NEXPE PARTICIPAÇÕES S.A;Outros;Outros
BBSE3;BBSEGURIDADE;BB SEGURIDADE PARTICIPAÇÕES S.A.;Previdência e Seguros;Seguradoras
BBTG11;BTG PACTUAL UNITS;Units BTG PACTUAL;Intermediários Financeiros;Bancos
BBTG12;BTG PACTUAL;BTG PACTUAL PARTICIPATIONS. LTD.;Outros;NA
BBTG13;BTG PACTUAL;BTG PACTUAL PARTICIPATIONS. LTD.;Outros;NA
BCAL6;PRO METALURG;PRÓ METALURGIA S.A.;Outros;NA
BDLL3;BARDELLA;BARDELLA SA INDS MECANICAS;Máquinas e Equipamentos;Máq. e Equip. Industriais
BDLL4;BARDELLA;BARDELLA SA INDS MECANICAS;Máquinas e Equipamentos;Máq. e Equip. Industriais
BECE3;BEC;BANCO DO ESTADO DO CEARA S/A BEC;Outros;NA
BECE4;BEC;BANCO DO ESTADO DO CEARA S/A BEC;Outros;NA
BEEF3;Minerva;MINERVA S/A;Alimentos Processados;Carnes e Derivados
BEES3;BANESTES S/A;BANESTES SA BANCO ESTADO ESPIRITO SANTO;Intermediários Financeiros;Bancos
BEES4;BANESTES S/A;BANESTES SA BANCO ESTADO ESPIRITO SANTO;Intermediários Financeiros;Bancos
BELG3;BELGO;COMPANHIA SIDERÚRGICA BELGO-MINEIRA;Outros;NA
BELG4;BELGO;COMPANHIA SIDERÚRGICA BELGO-MINEIRA;Outros;NA
BEMA3;Bematech;BEMATECH IND COM EQUIP ELETRONICOS SA;Computadores e Equipamentos;Computadores e Equipamentos
BERG3;BERGAMO;BERGAMO CIA INDUSTRIAL;Outros;NA
BESP3;BANESPA;BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA;Outros;NA
BESP4;BANESPA;BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA;Outros;NA
BFIT3;BANCO SUDAMERIS BRASIL SA;BANCO SUDAMERIS BRASIL SA;Outros;NA
BFIT4;BANCO SUDAMERIS BRASIL SA;BANCO SUDAMERIS BRASIL SA;Outros;NA
BGIP3;BANESE;BANCO ESTADO SERGIPE SA;Intermediários Financeiros;Bancos
BGIP4;BANESE;BANCO ESTADO SERGIPE SA;Intermediários Financeiros;Bancos
BHGR3;BHG;BHG S.A. - BRAZIL HOSPITALITY GROUP;Exploração de Imóveis;Exploração de Imóveis
BHIA3;CASAS BAHIA;GRUPO CASAS BAHIA S.A.;Comércio;Eletrodomésticos
BICB3;BicBanco;BANCO INDUSTRIAL E COMERCIAL S/A;Intermediários Financeiros;Bancos
BICB4;BicBanco;BANCO INDUSTRIAL E COMERCIAL S/A;Intermediários Financeiros;Bancos
BIDI11;BANCO INTER;BANCO INTER S.A.;Intermediários Financeiros;Bancos
BIDI3;BANCO INTER;BANCO INTER S.A.;Intermediários Financeiros;Bancos
BIDI4;BANCO INTER;BANCO INTER S.A.;Intermediários Financeiros;Bancos
BIED3;BIOMA EDUC;BAHEMA EDUCAÇÃO S.A.;Diversos;Serviços Educacionais
BIOM3;BIOMM SA;BIOMM SA;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
BIOM4;BIOMM SA;BIOMM SA;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
BISA3;BROOKFIELD INCORPORACOES;BROOKFIELD INCORPORACOES S.A.;Construção Civil;Incorporações
BKBR3;ZAMP S.A.;ZAMP S.A.;Outros;Outros
BLAU3;BLAU;BLAU FARMACÊUTICA S.A.;Comércio e Distribuição;Medicamentos e Outros Produtos
BLUT3;B TECH EQI;BLUE TECH SOLUTIONS E.Q.I. S;Outros;Outros
BLUT4;B TECH EQI;BLUE TECH SOLUTIONS E.Q.I. S;Outros;Outros
BMEB3;BANCO MERCANTIL DO BRASIL S/A;BANCO MERCANTIL BRASIL SA;Intermediários Financeiros;Bancos
BMEB4;BANCO MERCANTIL DO BRASIL S/A;BANCO MERCANTIL BRASIL SA;Intermediários Financeiros;Bancos
BMEF3;BMF;BOLSA DE MERCADORIAS & FUTUROS - BM&F S/A;Serviços Financeiros Diversos;Serviços Financeiros Diversos
BMGB11;BANCO BMG;BANCO BMG S.A.;Intermediários Financeiros;Bancos
BMGB4;BANCO BMG;BANCO BMG S.A.;Intermediários Financeiros;Bancos
BMIN3;BANCO MERCANTIL DE INVESTIMENTOS SA;BCO MERCANTIL INVS SA;Intermediários Financeiros;Bancos
BMIN4;BANCO MERCANTIL DE INVESTIMENTOS SA;BCO MERCANTIL INVS SA;Intermediários Financeiros;Bancos
BMKS3;MONARK;BICICLETAS MONARK SA;Viagens e Lazer;Bicicletas
BMOB3;BEMOBI TECH;BEMOBI MOBILE TECH S.A.;Programas e Serviços;Programas e Serviços
BMTO3;BRASMOTOR S.A;BRASMOTOR SA;Outros;NA
BMTO4;BRASMOTOR S.A;BRASMOTOR SA;Outros;NA
BNBR3;BANCO DO NORDESTE;BANCO DO NORDESTE DO BRASIL SA;Intermediários Financeiros;Bancos
BNBR4;BANCO DO NORDESTE;BANCO DO NORDESTE DO BRASIL SA;Intermediários Financeiros;Bancos
BNCA3;NOSSA CAIXA-NOSSO BANCO;BANCO NOSSA CAIXA S.A.;Intermediários Financeiros;Bancos
BOAS3;BOA VISTA;BOA VISTA SERVIÇOS S.A.;Serviços Financeiros Diversos;Serviços Financeiros Diversos
BOBR3;BOMBRIL SA;BOMBRIL SA;Produtos de Uso Pessoal e de Limpeza;Produtos de Limpeza
BOBR4;BOMBRIL SA;BOMBRIL SA;Produtos de Uso Pessoal e de Limpeza;Produtos de Limpeza
BOVH3;Bovespa Hld;BOVESPA HOLDING SA;Serviços Financeiros Diversos;Serviços Financeiros Diversos
BPAC11;BTGP BANCO;BCO BTG PACTUAL S.A.;Intermediários Financeiros;Bancos
BPAC3;BTGP BANCO;BCO BTG PACTUAL S.A.;Intermediários Financeiros;Bancos
BPAC5;BTGP BANCO;BCO BTG PACTUAL S.A.;Intermediários Financeiros;Bancos
BPAN4;BANCO PAN;BCO PAN S.A.;Intermediários Financeiros;Bancos
BPAR3;BANPARÁ S.A.;BANCO ESTADO PARA SA;Intermediários Financeiros;Bancos
BPAT33;Patagonia;BANCO PATAGONIA SA;Intermediários Financeiros;Bancos
BPHA3;BRAZIL PHARMA S.A.;BR PHARMA;Comércio e Distribuição;Medicamentos e Outros Produtos
BPIA3;BEP;BANCO DO ESTADO DO PIAUÍ S.A.;Intermediários Financeiros;Bancos
BPNM3;BANCO PAN;BCO PAN S.A.;Intermediários Financeiros;Bancos
BPNM4;BANCO PAN;BCO PAN S.A.;Outros;Outros
BRAP3;BRADESPAR S/A;BRADESPAR S/A;Mineração;Minerais Metálicos
BRAP4;BRADESPAR S/A;BRADESPAR S/A;Mineração;Minerais Metálicos
BRAV3;BRAVA;3R PETROLEUM ÓLEO E GÁS S.A;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
BRBI11;BR PARTNERS;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;Intermediários Financeiros;Bancos
BRDT3;VIBRA;VIBRA ENERGIA S.A.;Outros;Outros
BRFS3;BRF Foods;BRF Foods;Alimentos Processados;Carnes e Derivados
BRGE11;CONSORCIO ALFA;CONSORCIO ALFA DE ADMINISTRAÇÃO SA;Previdência e Seguros;Seguradoras
BRGE12;CONSORCIO ALFA;CONSORCIO ALFA DE ADMINISTRAÇÃO SA;Previdência e Seguros;Seguradoras
BRGE3;CONSORCIO ALFA;CONSORCIO ALFA DE ADMINISTRAÇÃO SA;Previdência e Seguros;Seguradoras
BRGE5;CONSORCIO ALFA;CONSORCIO ALFA DE ADMINISTRAÇÃO SA;Previdência e Seguros;Seguradoras
BRGE6;CONSORCIO ALFA;CONSORCIO ALFA DE ADMINISTRAÇÃO SA;Previdência e Seguros;Seguradoras
BRGE7;CONSORCIO ALFA;CONSORCIO ALFA DE ADMINISTRAÇÃO SA;Previdência e Seguros;Seguradoras
BRGE8;CONSORCIO ALFA;CONSORCIO ALFA DE ADMINISTRAÇÃO SA;Previdência e Seguros;Seguradoras
BRIN3;ALPER S.A.;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;Outros;Outros
BRIT3;BRISANET;BRISANET PARTICIPAÇÕES S.A.;Telecomunicações;Telecomunicações
BRIV3;ALFA DE INVESTIMENTO;BANCO ALFA DE INVESTIMENTO SA;Intermediários Financeiros;Bancos
BRIV4;ALFA DE INVESTIMENTO;BANCO ALFA DE INVESTIMENTO SA;Intermediários Financeiros;Bancos
BRKM3;BRASKEM;BRASKEM S.A.;Químicos;Petroquímicos
BRKM5;BRASKEM;BRASKEM S.A.;Químicos;Petroquímicos
BRKM6;BRASKEM;BRASKEM S.A.;Químicos;Petroquímicos
BRML3;BR MALLS PARTICIPAÇÔES S/A;BR MALLS PARTICIPACOES S.A.;Exploração de Imóveis;Exploração de Imóveis
BRPR3;BR PROPERTIES;BR PROPERTIES S.A.;Exploração de Imóveis;Exploração de Imóveis
BRSR3;BANRISUL S/A;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;Intermediários Financeiros;Bancos
BRSR4;BANRISUL S/A;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;Intermediários Financeiros;Bancos
BRSR5;BANRISUL S/A;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;Intermediários Financeiros;Bancos
BRSR6;BANRISUL S/A;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;Intermediários Financeiros;Bancos
BRST3;BRISANET;BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.;Telecomunicações;Telecomunicações
BRTP3;BRASIL TELECOM PARTICIPAÇÕES S.A.;BRASIL TELECOM PARTICIPAÇÕES SA;Outros;NA
BRTP4;BRASIL TELECOM PARTICIPAÇÕES S.A.;BRASIL TELECOM PARTICIPAÇÕES SA;Outros;NA
BSCT3;BESC S.A.;BANCO DO ESTADO DE SANTA CATARINA SA;Intermediários Financeiros;Bancos
BSCT5;BESC S.A.;BANCO DO ESTADO DE SANTA CATARINA SA;Intermediários Financeiros;Bancos
BSCT6;BESC S.A.;BANCO DO ESTADO DE SANTA CATARINA SA;Intermediários Financeiros;Bancos
BSEV3;BIOSEV;BIOSEV S.A.;Alimentos Processados;Açucar e Alcool
BSGR3;AGF BRASIL SEGUROS;AGF BRASIL SEGUROS SA;Outros;NA
BSLI3;BRB;BRB-BANCO DE BRASILIA SA;Intermediários Financeiros;Bancos
BSLI4;BRB;BRB-BANCO DE BRASILIA SA;Intermediários Financeiros;Bancos
BTOW3;AMERICANAS;AMERICANAS S.A;Outros;Outros
BUET3;BUETTNER S/A - INDUSTRIA E COMERCIO;BUETTNER SA IND E COMERCIO;Tecidos, Vestuário e Calçados;Fios e Tecidos
BUET4;BUETTNER S/A - INDUSTRIA E COMERCIO;BUETTNER SA IND E COMERCIO;Tecidos, Vestuário e Calçados;Fios e Tecidos
BVMF3;B3;B3 S.A. - BRASIL, BOLSA, BALCÃO;Outros;Outros
CAFE3;CAFE SOLUVEL BRASILIA S/A;CAFE SOLUVEL BRASILIA SA;Outros;NA
CAFE4;CAFE SOLUVEL BRASILIA S/A;CAFE SOLUVEL BRASILIA SA;Outros;NA
CALI3;CAL S/A;CONST ADOLPHO LINDENBERG SA;Construção Civil;Incorporações
CALI4;CAL S/A;CONST ADOLPHO LINDENBERG SA;Construção Civil;Incorporações
CAMB3;PENALTY;CAMBUCI SA;Tecidos, Vestuário e Calçados;Calçados
CAMB4;PENALTY;CAMBUCI SA;Tecidos, Vestuário e Calçados;Calçados
CAML3;CAMIL;CAMIL ALIMENTOS S.A.;Alimentos Processados;Alimentos Diversos
CARD3;CSU DIGITAL;CSU DIGITAL S.A.;Outros;Outros
CASH3;MELIUZ;MÉLIUZ S.A.;Programas e Serviços;Programas e Serviços
CASN3;CASAN;CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN;Água e Saneamento;Água e Saneamento
CBAV3;CBA;Companhia Brasileira de Alumínio;Mineração;Minerais Metálicos
CBEE3;AMPLA ENERG;AMPLA ENERGIA E SERVICOS S.A.;Energia Elétrica;Energia Elétrica
CBMA3;COBRASMA S/A;COBRASMA SA;Outros;NA
CBMA4;COBRASMA S/A;COBRASMA SA;Outros;NA
CCHI3;CHIARELLI;CERAMICA CHIARELLI SA;Construção e Engenharia;Produtos para Construção
CCHI4;CHIARELLI;CERAMICA CHIARELLI SA;Construção e Engenharia;Produtos para Construção
CCIM3;CC DES IMOB;CAMARGO CORREA DESENV. IMOBILIARIO S.A.;Construção Civil;Incorporações
CCPR3;SYN PROP TEC;SYN prop e tech S.A.;Outros;Outros
CCRO3;COMPANHIA DE CONCESSÕES RODOVIÁRIAS;COMPANHIA DE CONCESSÕES RODOVIÁRIAS;Transporte;Exploração de Rodovias
CCTU4;COMPANHIA BRASILEIRA DE CARTUCHOS - CBC;COMPANHIA BRASILEIRA DE CARTUCHOS - CBC;Outros;NA
CCXC3;CCX CARVAO;CCX CARVÃO DA COLÔMBIA S.A.;Mineração;Minerais Metálicos
CEAB3;CEA MODAS;CEA MODAS S.A.;Comércio;Tecidos, Vestuário e Calçados
CEBR3;CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Energia Elétrica;Energia Elétrica
CEBR5;CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Energia Elétrica;Energia Elétrica
CEBR6;CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Energia Elétrica;Energia Elétrica
CEDO3;CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA;COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA;Tecidos, Vestuário e Calçados;Fios e Tecidos
CEDO4;CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA;COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA;Tecidos, Vestuário e Calçados;Fios e Tecidos
CEEB3;COELBA;CIA ELETRICIDADE DA BAHIA;Energia Elétrica;Energia Elétrica
CEEB5;COELBA;CIA ELETRICIDADE DA BAHIA;Energia Elétrica;Energia Elétrica
CEED3;CEEE-D;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Energia Elétrica;Energia Elétrica
CEED4;CEEE-D;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Energia Elétrica;Energia Elétrica
CEGR3;CEG;CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO;Gás;Gás
CELM3;CELM CIA EQUIP. DE LABORATORIOS MODERNOS;CELM CIA EQUIP LABS MODERNOS;Outros;NA
CELP5;EQTL PARA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Outros;Outros
CELP7;EQTL PARA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Outros;Outros
CEPE3;CELPE;CIA ENERGÉTICA DE PERNAMBUCO - CELPE;Energia Elétrica;Energia Elétrica
CEPE5;CELPE;CIA ENERGÉTICA DE PERNAMBUCO - CELPE;Energia Elétrica;Energia Elétrica
CEPE6;CELPE;CIA ENERGÉTICA DE PERNAMBUCO - CELPE;Energia Elétrica;Energia Elétrica
CESP3;CESP CIA ENERGETICA SAO PAULO;CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO;Energia Elétrica;Energia Elétrica
CESP4;CESP CIA ENERGETICA SAO PAULO;CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO;Energia Elétrica;Energia Elétrica
CESP5;CESP CIA ENERGETICA SAO PAULO;CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO;Energia Elétrica;Energia Elétrica
CESP6;CESP CIA ENERGETICA SAO PAULO;CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO;Energia Elétrica;Energia Elétrica
CFLU4;COCA COLA;COMPANHIA FLUMINENSE DE REFRIGERANTES;Outros;NA
CGAS3;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;Gás;Gás
CGAS5;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;Gás;Gás
CGOS3;CELG;COMPANHIA ENERGÉTICA DE GOIÁS - CELG;Energia Elétrica;Energia Elétrica
CGOS4;CELG;COMPANHIA ENERGÉTICA DE GOIÁS - CELG;Energia Elétrica;Energia Elétrica
CGRA3;GRAZZIOTIN;GRAZZIOTIN SA;Comércio;Tecidos, Vestuário e Calçados
CGRA4;GRAZZIOTIN;GRAZZIOTIN SA;Comércio;Tecidos, Vestuário e Calçados
CIEL3;CIELO;CIELO S.A.;Serviços Financeiros Diversos;Serviços Financeiros Diversos
CIQU3;CACIQUE;CIA CACIQUE CAFE SOLUVEL;Outros;NA
CIQU4;CACIQUE;CIA CACIQUE CAFE SOLUVEL;Outros;NA
CLAN3;CLARION;CLARION S.A. AGROINDUSTRIAL;Outros;NA
CLAN4;CLARION;CLARION S.A. AGROINDUSTRIAL;Outros;NA
CLSA3;CLEARSALE;CLEAR SALE S.A.;Serviços Financeiros Diversos;Serviços Financeiros Diversos
CLSC3;CELESC;CENTRAIS ELETRICAS DE SANTA CATARINA S.A;Energia Elétrica;Energia Elétrica
CLSC4;CELESC;CENTRAIS ELETRICAS DE SANTA CATARINA S.A;Energia Elétrica;Energia Elétrica
CLSC5;CELESC;CENTRAIS ELETRICAS DE SANTA CATARINA S.A;Energia Elétrica;Energia Elétrica
